question_text,question_type,correct_answer,category,difficulty,options,level_required
What is two-factor authentication (2FA)?,multiple_choice,An authentication method requiring two forms of verification,authentication,medium,"An authentication method requiring two forms of verification,An encryption technique for stored passwords,A backup authentication database,A single password with complexity rules",3
What does VPN stand for?,multiple_choice,Virtual Private Network,network security,medium,"Virtual Private Network,Verified Public Network,Virtual Protected Node,Variable Packet Network",3
What is a DDoS attack?,multiple_choice,Distributed Denial of Service attack,network security,medium,"Distributed Denial of Service attack,Data Deletion over Systems,Direct Data Streaming attack,Distributed Database Overload",3
What is a firewall?,multiple_choice,A network security device that monitors and filters network traffic,network security,medium,"A network security device that monitors and filters network traffic,A system for encrypting stored files,A tool for detecting malware signatures,A centralized authentication server",3
Which of the following is a type of malware?,multiple_choice,Trojan horse,malware,medium,"Trojan horse,Load balancer,Encryption algorithm,Firewall appliance",3
What does SSL stand for?,multiple_choice,Secure Sockets Layer,encryption,medium,"Secure Sockets Layer,System Security Logic,Standard Session Link,Secure Software License",3
Which of the following is a best practice for password security?,multiple_choice,Use unique passwords for each account,password security,medium,"Use unique passwords for each account,Reuse complex passwords across systems,Store passwords in encrypted documents,Change usernames regularly",3
Which HTTP status code indicates a successful request?,multiple_choice,200,web security,medium,"200,301,403,500",3
Which of the following is NOT a type of authentication factor?,multiple_choice,Something you forgot,authentication,medium,"Something you know,Something you have,Something you are,Something you forgot",3
Which of the following is a secure password practice?,multiple_choice,Change passwords periodically,password security,medium,"Change passwords periodically,Reuse previous passwords,Use personal information,Share passwords with trusted users",3
Which of the following is a common phishing technique?,multiple_choice,Creating fake websites that look legitimate,phishing,medium,"Creating fake websites that look legitimate,Using encrypted email services,Applying digital signatures,Implementing HTTPS",3
What is a security patch?,multiple_choice,A software update that fixes security vulnerabilities,vulnerabilities,medium,"A software update that fixes security vulnerabilities,A configuration backup,A malware removal tool,A password reset mechanism",3
What is the primary purpose of a VPN?,multiple_choice,To create a secure encrypted connection over a public network,network security,medium,"To create a secure encrypted connection over a public network,To increase internet speed,To block all external traffic,To replace firewalls",3
What is a security vulnerability?,multiple_choice,A weakness that can be exploited by attackers,vulnerabilities,medium,"A weakness that can be exploited by attackers,A security policy violation,A monitoring alert,A patched software flaw",3
Which of the following is a red flag for phishing?,multiple_choice,Requests for sensitive information via email,phishing,medium,"Requests for sensitive information via email,Multi-factor authentication prompts,Emails sent from official portals,Digitally signed messages",3
What is the purpose of a security policy?,multiple_choice,To establish rules and procedures for protecting information,security testing,medium,"To establish rules and procedures for protecting information,To encrypt all organizational data,To replace security software,To automate user authentication",3
Which of the following is a secure way to store passwords?,multiple_choice,Using a password manager,password security,medium,"Using a password manager,Storing passwords in browser notes,Saving passwords in spreadsheets,Emailing passwords to yourself",3
What is the purpose of encryption in cybersecurity?,multiple_choice,To protect data confidentiality,encryption,medium,"To protect data confidentiality,To compress data efficiently,To improve network routing,To manage access permissions",3
What is a security incident?,multiple_choice,An event that compromises the security of information systems,security testing,medium,"An event that compromises the security of information systems,A routine system update,A scheduled backup,A password expiration event",3
What is a security breach?,multiple_choice,Unauthorized access to confidential data,security testing,medium,"Unauthorized access to confidential data,A system reboot,A failed login attempt,A configuration change",3
What is the role of a security analyst?,multiple_choice,To monitor and respond to security threats,security testing,medium,"To monitor and respond to security threats,To develop application features,To manage hardware inventory,To design network cables",3
Which of the following helps prevent SQL injection?,multiple_choice,Using parameterized queries,web security,medium,"Using parameterized queries,Encrypting database backups,Disabling error messages,Using strong database passwords",3
What is endpoint security?,multiple_choice,Protecting individual devices from threats,network security,medium,"Protecting individual devices from threats,Securing only network routers,Monitoring cloud infrastructure,Blocking all external traffic",4
Which of the following is a sign of a secure website?,multiple_choice,HTTPS and valid SSL certificate,web security,medium,"HTTPS and valid SSL certificate,Pop-up security warnings,High traffic volume,Frequent advertisements",4
What is a security control?,multiple_choice,A measure to reduce security risks,security testing,medium,"A measure to reduce security risks,A type of malware signature,A backup archive,A password requirement only",4
Which of the following is a type of network attack?,multiple_choice,DDoS attack,network security,medium,"DDoS attack,Password rotation,Software patching,Data encryption",4
What is security awareness training?,multiple_choice,Educating users about security threats and best practices,security testing,medium,"Educating users about security threats and best practices,Teaching software development,Automating security updates,Replacing security tools",4
Which of the following is important for incident response?,multiple_choice,Having a response plan ready,security testing,medium,"Having a response plan ready,Disabling all systems immediately,Ignoring minor incidents,Publicly sharing incident details",4
What is the role of encryption in data protection?,multiple_choice,To ensure data confidentiality and integrity,encryption,medium,"To ensure data confidentiality and integrity,To reduce file sizes,To manage access roles,To improve performance",4
Which of the following helps protect against phishing?,multiple_choice,Email filtering and user education,phishing,medium,"Email filtering and user education,Opening all attachments carefully,Using only mobile devices,Disabling email previews",4
What is the purpose of security testing?,multiple_choice,To identify vulnerabilities before attackers do,security testing,medium,"To identify vulnerabilities before attackers do,To create new security tools,To replace firewalls,To slow down systems",4
Which of the following helps prevent data breaches?,multiple_choice,Strong access controls and encryption,data security,medium,"Strong access controls and encryption,Public data sharing,Minimal authentication checks,Open network access",4
Which scenario best describes a man-in-the-middle (MITM) attack?,multiple_choice,An attacker intercepts and alters communication between two parties,network security,hard,"An attacker intercepts and alters communication between two parties,An attacker overwhelms a server with traffic,An attacker exploits a software vulnerability locally,An attacker gains access using stolen credentials",5
Which control is MOST effective against brute-force login attacks?,multiple_choice,Account lockout and rate limiting,authentication,hard,"Account lockout and rate limiting,Longer usernames,User activity logging only,Password expiration policies",5
A web application is vulnerable to SQL injection. Which fix is MOST appropriate?,multiple_choice,Implementing parameterized queries,web security,hard,"Implementing parameterized queries,Encrypting the database,Applying input length restrictions only,Hiding database error messages",5
Which attack exploits trust relationships between systems?,multiple_choice,Pass-the-hash,authentication,hard,"Pass-the-hash,Phishing,DNS amplification,ARP spoofing",5
Which security principle limits user access strictly to what is required?,multiple_choice,Principle of least privilege,authentication,hard,"Principle of least privilege,Defense in depth,Separation of duties,Fail-safe defaults",5
An attacker captures hashed passwords. Which defense MOST reduces reuse risk?,multiple_choice,Salting and slow hashing algorithms,password security,hard,"Salting and slow hashing algorithms,Encrypting the password database,Increasing password length only,Storing hashes offline",5
Which protocol is MOST secure for remote administration?,multiple_choice,SSH,network security,hard,"SSH,Telnet,HTTP,FTP",5
A company wants to detect unauthorized lateral movement inside the network. What should they deploy?,multiple_choice,Network-based intrusion detection system,network security,hard,"Network-based intrusion detection system,Web application firewall,Perimeter firewall only,Anti-virus on endpoints",5
Which attack specifically targets availability?,multiple_choice,Distributed Denial of Service (DDoS),network security,hard,"Distributed Denial of Service (DDoS),SQL injection,Cross-site scripting,Privilege escalation",5
What is the PRIMARY risk of using outdated cryptographic algorithms?,multiple_choice,They can be broken with feasible computational effort,encryption,hard,"They can be broken with feasible computational effort,They increase latency,They require larger keys,They are incompatible with modern systems",5
Which log source is MOST useful for detecting brute-force authentication attempts?,multiple_choice,Authentication logs,security testing,hard,"Authentication logs,Application logs,System performance logs,Backup logs",5
Which authentication factor is MOST resistant to phishing?,multiple_choice,Biometrics,authentication,hard,"Biometrics,One-time passwords via email,Static passwords,Security questions",5
An attacker sends emails appearing to be from the CEO requesting urgent wire transfers. This is an example of?,multiple_choice,Whaling,phishing,hard,"Whaling,Spear phishing,Vishing,Clone phishing",5
Which control helps ensure data integrity during transmission?,multiple_choice,Message authentication codes,encryption,hard,"Message authentication codes,Data compression,Network segmentation,Access control lists",5
Which technique prevents attackers from replaying captured authentication messages?,multiple_choice,Using nonces or timestamps,authentication,hard,"Using nonces or timestamps,Encrypting the payload only,Increasing key size,Hashing credentials",5
A security team wants to reduce attack surface. What is the BEST action?,multiple_choice,Disable unnecessary services and ports,network security,hard,"Disable unnecessary services and ports,Increase firewall logging,Deploy intrusion detection,Add additional authentication prompts",5
Which vulnerability results from improper input validation?,multiple_choice,Cross-site scripting (XSS),web security,hard,"Cross-site scripting (XSS),DDoS,ARP poisoning,Brute-force attack",5
What does a Web Application Firewall (WAF) primarily protect against?,multiple_choice,Application-layer attacks,web security,hard,"Application-layer attacks,Network flooding attacks,Physical intrusion,Credential theft via malware",5
Which security model enforces access based on labels and classifications?,multiple_choice,Mandatory Access Control (MAC),authentication,hard,"Mandatory Access Control (MAC),Discretionary Access Control (DAC),Role-Based Access Control (RBAC),Rule-Based Access Control",5
Which incident response phase focuses on limiting damage?,multiple_choice,Containment,security testing,hard,"Containment,Preparation,Recovery,Lessons learned",5
Which encryption method is typically used for data at rest?,multiple_choice,Symmetric encryption,encryption,hard,"Symmetric encryption,Asymmetric encryption,Hashing only,Tokenization exclusively",5
Which attack leverages poisoned ARP caches?,multiple_choice,ARP spoofing,network security,hard,"ARP spoofing,DNS tunneling,IP fragmentation,MAC flooding",5
Why is defense in depth effective?,multiple_choice,It provides multiple layers of security controls,general,hard,"It provides multiple layers of security controls,It replaces the need for monitoring,It eliminates vulnerabilities,It guarantees attack prevention",5
Which mechanism ensures non-repudiation?,multiple_choice,Digital signatures,encryption,hard,"Digital signatures,Symmetric encryption,Hashing,Access control lists",5
Which vulnerability allows attackers to execute commands on a server?,multiple_choice,Remote code execution,web security,hard,"Remote code execution,Session fixation,Clickjacking,Security misconfiguration",5
Which metric BEST measures the effectiveness of incident detection?,multiple_choice,Mean time to detect (MTTD),security testing,hard,"Mean time to detect (MTTD),Number of alerts generated,Log storage size,Patch frequency",5
Which authentication method is MOST secure for administrators?,multiple_choice,Hardware-based multi-factor authentication,authentication,hard,"Hardware-based multi-factor authentication,Complex passwords only,Biometric-only authentication,Single sign-on",5
Which threat model focuses on STRIDE categories?,multiple_choice,Microsoft threat modeling,general,hard,"Microsoft threat modeling,OWASP Top 10,NIST risk framework,ISO 27001",5
Which attack abuses excessive privileges?,multiple_choice,Privilege escalation,authentication,hard,"Privilege escalation,Phishing,Replay attack,Session hijacking",5
A TLS connection is established but later found vulnerable to downgrade attacks. Which failure MOST likely caused this?,multiple_choice,Lack of strict protocol version enforcement,encryption,very_hard,"Lack of strict protocol version enforcement,Use of symmetric encryption for bulk data,Improper certificate chain length,Absence of forward secrecy",6
An attacker gains access using stolen NTLM hashes without cracking them. Which technique was used?,multiple_choice,Pass-the-hash,authentication,very_hard,"Pass-the-hash,Credential stuffing,Kerberoasting,Password spraying",6
A SOC detects internal DNS requests to random-looking subdomains at regular intervals. This MOST likely indicates?,multiple_choice,DNS tunneling,network security,very_hard,"DNS tunneling,Fast-flux hosting,Domain hijacking,ARP spoofing",6
Which configuration BEST enforces Zero Trust principles?,multiple_choice,Continuous authentication and microsegmentation,network security,very_hard,"Continuous authentication and microsegmentation,Perimeter firewalls with VPN access,Role-based access only,Network intrusion detection",6
A signed executable is modified but still appears trusted by users. What attack is MOST likely?,multiple_choice,Certificate misuse or stolen code-signing keys,encryption,very_hard,"Certificate misuse or stolen code-signing keys,Hash collision attack,Replay attack,Privilege escalation",6
Which log correlation MOST strongly indicates lateral movement?,multiple_choice,Multiple authentication successes across hosts from a single account,security testing,very_hard,"Multiple authentication successes across hosts from a single account,High outbound traffic volume,Repeated DNS lookup failures,Increased CPU usage",6
An attacker bypasses ASLR and DEP to execute shellcode. What does this imply?,multiple_choice,Use of a memory disclosure or ROP chain,web security,very_hard,"Use of a memory disclosure or ROP chain,Weak password enforcement,Missing TLS encryption,Improper firewall rules",6
Which scenario BEST demonstrates a supply chain attack?,multiple_choice,Malicious code introduced through a trusted software update,malware,very_hard,"Malicious code introduced through a trusted software update,Exploiting a public-facing vulnerability,Phishing a system administrator,Brute-forcing an admin account",6
Which cryptographic failure allows two different inputs to produce the same hash?,multiple_choice,Collision vulnerability,encryption,very_hard,"Collision vulnerability,Preimage resistance failure,Key exhaustion,Entropy depletion",6
An organization encrypts data but loses access after a ransomware attack. What control was MOST likely missing?,multiple_choice,Offline and tested key backups,data security,very_hard,"Offline and tested key backups,Longer encryption keys,Stronger hashing algorithms,Role-based access control",6
Which technique allows attackers to maintain access while avoiding malware detection?,multiple_choice,Living off the land techniques,malware,very_hard,"Living off the land techniques,Signature-based exploitation,Payload obfuscation only,Kernel-level rootkits",6
Why is mutual TLS (mTLS) stronger than standard TLS?,multiple_choice,Both client and server authenticate each other,encryption,very_hard,"Both client and server authenticate each other,It uses longer encryption keys,It eliminates certificate authorities,It prevents all MITM attacks",6
Which metric BEST indicates attacker dwell time?,multiple_choice,Time between initial compromise and detection,security testing,very_hard,"Time between initial compromise and detection,Number of alerts triggered,Patch deployment frequency,Mean time to recovery",6
An attacker forges Kerberos tickets using the krbtgt hash. What attack is this?,multiple_choice,Golden Ticket attack,authentication,very_hard,"Golden Ticket attack,Silver Ticket attack,Pass-the-ticket,Kerberoasting",6
Which control MOST effectively limits blast radius after a breach?,multiple_choice,Network microsegmentation,network security,very_hard,"Network microsegmentation,Centralized logging,Regular vulnerability scanning,Perimeter firewalls",6
Which vulnerability allows attackers to escape a container to the host OS?,multiple_choice,Container breakout,web security,very_hard,"Container breakout,Privilege escalation,Session fixation,Directory traversal",6
Why is ECB mode insecure for encryption?,multiple_choice,It reveals patterns in plaintext,encryption,very_hard,"It reveals patterns in plaintext,It uses short keys,It lacks authentication,It is vulnerable to hash collisions",6
An IDS generates many false positives but few detections. What tuning issue exists?,multiple_choice,Detection thresholds are improperly calibrated,security testing,very_hard,"Detection thresholds are improperly calibrated,Insufficient log retention,Weak encryption algorithms,Missing authentication controls",6
Which attack abuses cloud IAM misconfigurations MOST commonly?,multiple_choice,Privilege escalation via overly permissive roles,authentication,very_hard,"Privilege escalation via overly permissive roles,SQL injection,ARP spoofing,DNS cache poisoning",6
Why are hardware security modules (HSMs) used for key management?,multiple_choice,They protect cryptographic keys from extraction,data security,very_hard,"They protect cryptographic keys from extraction,They increase encryption speed,They replace certificate authorities,They eliminate the need for backups",6
Which scenario BEST indicates command-and-control (C2) beaconing?,multiple_choice,Regular outbound connections at fixed intervals,malware,very_hard,"Regular outbound connections at fixed intervals,High inbound traffic spikes,Random port scanning,Large file uploads",6
Which attack exploits XML external entities?,multiple_choice,XXE attack,web security,very_hard,"XXE attack,CSRF,Clickjacking,IDOR",6
Which defense MOST directly prevents credential replay attacks?,multiple_choice,Challenge-response authentication,authentication,very_hard,"Challenge-response authentication,Encrypted password storage,Longer password length,User account lockout",6
Which principle ensures systems fail securely?,multiple_choice,Fail-safe defaults,general,very_hard,"Fail-safe defaults,Defense in depth,Least privilege,Separation of duties",6
Which action BEST validates an incident is fully eradicated?,multiple_choice,Threat hunting after remediation,security testing,very_hard,"Threat hunting after remediation,Restoring from backups,Changing passwords,Reimaging infected hosts only",6
Which vulnerability allows access to unauthorized objects by manipulating IDs?,multiple_choice,Insecure Direct Object Reference (IDOR),web security,very_hard,"Insecure Direct Object Reference (IDOR),Broken authentication,Clickjacking,Open redirect",6
Which attack uses compromised websites to infect visitors?,multiple_choice,Watering hole attack,malware,very_hard,"Watering hole attack,Typosquatting,Pharming,Smishing",6
Which security goal is violated when data is altered without authorization?,multiple_choice,Integrity,general,very_hard,"Integrity,Confidentiality,Availability,Non-repudiation",6
